                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6428,                 3.4324,                 1.4107,                0.00705,                      1,                0.06382,                0.04354,                 1.5739,                 3.8266,                 1.3703,                      0,                      0,                      0
                      2,                 1.5292,                 3.3159,                 1.2924,                0.00708,                      1,                 0.1603,                0.09226,                 1.4649,                 3.7497,                 1.2887,              1.601e-05,              1.601e-05,              1.601e-05
                      3,                 1.5035,                  3.442,                 1.3742,                0.00727,                      1,                0.43946,                0.27655,                 1.1621,                 3.7395,                 1.1501,             3.0699e-05,             3.0699e-05,             3.0699e-05
                      4,                 1.3648,                 3.3306,                 1.2214,                0.00735,                      1,                0.76113,                0.51705,                 1.1908,                 3.5104,                  1.124,             4.4069e-05,             4.4069e-05,             4.4069e-05
                      5,                 1.4649,                 3.2512,                  1.281,                0.00771,                      1,                  0.785,                0.58707,                 1.1006,                 3.4391,                 1.0712,             5.6118e-05,             5.6118e-05,             5.6118e-05
                      6,                 1.4514,                 3.2841,                 1.2083,                0.00802,                      1,                  0.945,                0.72848,                0.89436,                 3.3559,                 1.0111,             6.6847e-05,             6.6847e-05,             6.6847e-05
                      7,                0.99928,                 2.9611,                 1.1196,                0.00825,                      1,                  0.995,                0.87024,                0.72462,                 3.3007,                0.95909,             7.6255e-05,             7.6255e-05,             7.6255e-05
                      8,                  1.276,                 2.9059,                 1.2644,                0.00851,                      1,                  0.995,                0.89516,                0.62065,                 3.2532,                0.93256,             8.4344e-05,             8.4344e-05,             8.4344e-05
                      9,                 1.0983,                  2.828,                 1.1296,                0.00873,                      1,                  0.995,                0.87059,                0.57876,                   3.22,                0.91913,             9.1112e-05,             9.1112e-05,             9.1112e-05
                     10,                 1.1067,                 2.4929,                 1.0292,                0.00875,                      1,                  0.995,                0.87059,                0.57934,                 3.1828,                0.91463,             9.6559e-05,             9.6559e-05,             9.6559e-05
                     11,                 1.1806,                 2.3522,                 1.1166,                0.00877,                      1,                  0.995,                0.87059,                0.58832,                 3.1493,                0.91383,             0.00010069,             0.00010069,             0.00010069
                     12,                0.97684,                 2.0026,                0.98224,                0.00868,                      1,                  0.995,                0.82911,                0.61421,                 3.1051,                0.91724,             0.00010349,             0.00010349,             0.00010349
                     13,                0.81985,                  1.603,                0.99288,                0.00857,                      1,                  0.995,                0.76272,                0.66319,                 3.0457,                0.91961,             0.00010498,             0.00010498,             0.00010498
                     14,                 1.0884,                 1.6959,                 1.0691,                0.00847,                      1,                  0.995,                0.80419,                0.66539,                 3.0023,                0.91806,             0.00010515,             0.00010515,             0.00010515
                     15,                0.88928,                 1.1475,                 1.0197,                0.00866,                      1,                  0.995,                0.80419,                0.66606,                 2.9472,                0.91708,             0.00010399,             0.00010399,             0.00010399
                     16,                0.83696,                 1.3647,                0.99333,                0.00847,                      1,                  0.995,                0.80419,                0.62778,                 2.9104,                0.91204,             0.00010152,             0.00010152,             0.00010152
                     17,                0.74846,                 1.4031,                0.91491,                0.00951,                      1,                  0.995,                0.84567,                0.59255,                 2.8923,                0.90737,             9.7726e-05,             9.7726e-05,             9.7726e-05
                     18,                0.80493,                 1.4185,                0.88226,                0.00951,                      1,                  0.995,                0.84567,                0.59255,                 2.8923,                0.90737,             9.2612e-05,             9.2612e-05,             9.2612e-05
                     19,                0.75269,                 1.3696,                0.90225,                0.93051,                      1,                  0.995,                0.88292,                0.54366,                 2.8661,                0.90277,             8.6177e-05,             8.6177e-05,             8.6177e-05
                     20,                0.79935,                 1.3362,                0.93268,                0.93051,                      1,                  0.995,                0.88292,                0.54366,                 2.8661,                0.90277,             7.8422e-05,             7.8422e-05,             7.8422e-05
                     21,                0.83502,                 1.3487,                0.95849,                      1,                0.93551,                  0.995,                 0.9202,                 0.4991,                 2.8483,                0.89806,             6.9347e-05,             6.9347e-05,             6.9347e-05
                     22,                0.83352,                 1.2839,                 0.9267,                      1,                0.93551,                  0.995,                 0.9202,                 0.4991,                 2.8483,                0.89806,             5.8952e-05,             5.8952e-05,             5.8952e-05
                     23,                0.70509,                 1.2997,                0.89296,                      1,                0.87025,                  0.995,                 0.9202,                0.48265,                 2.8306,                0.89513,             4.7236e-05,             4.7236e-05,             4.7236e-05
                     24,                0.79826,                 1.3099,                0.85929,                      1,                0.87025,                  0.995,                 0.9202,                0.48265,                 2.8306,                0.89513,               3.42e-05,               3.42e-05,               3.42e-05
                     25,                0.81867,                  1.212,                 0.9202,                      1,                0.78704,                  0.995,                0.88292,                0.47587,                  2.806,                0.89466,             1.9844e-05,             1.9844e-05,             1.9844e-05
