                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0862,                 2.4657,                 1.5339,                0.81633,                0.80079,                0.82387,                0.38094,                  1.646,                 2.6249,                 1.4166,             0.00041675,             0.00041675,             0.00041675
                      2,                 1.7471,                 1.2805,                 1.3278,                0.75671,                0.77797,                0.79561,                0.37039,                 1.7555,                 1.5847,                 1.3954,             0.00083334,             0.00083334,             0.00083334
                      3,                 1.8147,                 1.2246,                 1.4286,                0.51123,                0.64028,                0.54447,                0.24499,                 1.7615,                  2.007,                 1.4762,              0.0012328,              0.0012328,              0.0012328
                      4,                 1.6898,                 1.1383,                  1.293,                 0.7264,                0.81219,                0.71252,                0.32271,                 1.7772,                 1.5185,                 1.5021,               0.001568,               0.001568,               0.001568
                      5,                 1.7254,                0.99206,                 1.3285,                  0.865,                0.84524,                0.89595,                0.42017,                 1.6897,                 1.1811,                 1.4016,               0.001568,               0.001568,               0.001568
                      6,                 1.7535,                 1.0187,                 1.3603,                0.81309,                0.83899,                0.85766,                0.38058,                 1.8477,                 1.1858,                 1.4442,               0.001535,               0.001535,               0.001535
                      7,                 1.6973,                0.91528,                  1.331,                0.92824,                0.87679,                0.92634,                0.45904,                 1.6669,                0.93899,                 1.3558,               0.001502,               0.001502,               0.001502
                      8,                 1.6576,                0.90183,                 1.2699,                0.90314,                0.88647,                 0.9129,                0.44662,                 1.6863,                0.92853,                 1.3589,               0.001469,               0.001469,               0.001469
                      9,                 1.6303,                0.85472,                 1.2698,                0.86266,                0.90893,                0.89386,                0.44823,                 1.6692,                0.96219,                  1.344,               0.001436,               0.001436,               0.001436
                     10,                 1.6433,                0.84828,                 1.2926,                0.90269,                0.89385,                0.92603,                0.47588,                 1.6455,                0.89294,                 1.3354,              0.0014029,              0.0014029,              0.0014029
                     11,                 1.6297,                0.83375,                 1.2738,                 0.9312,                0.88991,                0.93169,                0.44483,                  1.712,                0.88617,                 1.3965,              0.0013699,              0.0013699,              0.0013699
                     12,                 1.7236,                0.87932,                 1.2864,                 0.8795,                0.86111,                0.84324,                 0.3083,                 2.0536,                0.96715,                 1.5469,              0.0013369,              0.0013369,              0.0013369
                     13,                 1.6823,                0.85614,                 1.2938,                 0.9346,                0.91545,                0.94751,                0.50538,                 1.6079,                0.77491,                 1.3226,              0.0013039,              0.0013039,              0.0013039
                     14,                 1.6034,                0.79244,                 1.2349,                0.94252,                0.90724,                0.94165,                0.47517,                 1.6451,                0.77876,                  1.327,              0.0012709,              0.0012709,              0.0012709
                     15,                 1.5251,                0.95665,                 1.1965,                0.93935,                0.93552,                0.94789,                 0.4907,                 1.6534,                0.73807,                 1.3557,              0.0012379,              0.0012379,              0.0012379
                     16,                 1.5117,                  1.079,                 1.2032,                 0.9123,                0.94206,                0.94208,                0.48997,                  1.585,                0.77189,                 1.2995,              0.0012049,              0.0012049,              0.0012049
